,carat,cut,color,clarity,depth,table,price,x,y,z
39087,0.5,Good,G,SI1,63.6,55.0,1286,5.06,5.03,3.21
30893,0.35,Premium,D,SI1,60.2,57.0,827,4.61,4.56,2.76
45278,1.01,Fair,E,I1,64.5,54.0,2036,6.31,6.22,4.03
16398,1.01,Good,G,VVS2,63.2,59.0,7137,6.27,6.35,3.99
13653,1.23,Ideal,H,SI2,60.6,57.0,5951,6.98,6.94,4.22
13748,1.02,Premium,D,SI1,62.5,59.0,5998,6.4,6.34,3.98
23965,2.08,Premium,J,VS2,60.3,59.0,14933,8.29,8.23,4.98
45552,0.68,Good,F,SI1,58.1,60.0,2074,5.8,5.91,3.4
30219,0.32,Ideal,G,VVS1,62.1,54.0,802,4.4,4.43,2.74
24079,2.19,Premium,I,SI2,60.8,60.0,15169,8.38,8.34,5.08
12181,1.2,Very Good,D,SI2,62.6,57.0,5451,6.74,6.84,4.25
21848,1.5,Premium,F,SI1,61.4,59.0,11588,7.34,7.31,4.5
14290,1.07,Ideal,F,SI1,62.3,56.0,6200,6.51,6.53,4.06
24755,0.32,Ideal,E,SI2,61.0,56.0,427,4.42,4.44,2.7
35013,0.43,Very Good,G,VS1,59.3,58.0,998,4.97,5.02,2.96
15361,1.09,Ideal,H,VS1,61.3,54.0,6643,6.66,6.68,4.09
48038,0.9,Fair,I,SI2,67.7,61.0,2422,6.04,5.86,4.03
36311,0.35,Premium,D,VS2,59.7,58.0,1063,4.61,4.57,2.74
30239,0.25,Very Good,G,VVS1,59.4,63.0,457,4.07,4.11,2.43
7195,0.9,Very Good,G,VS2,60.5,60.0,4296,6.2,6.24,3.76
3579,1.01,Good,I,VS1,64.2,60.0,3484,6.35,6.27,4.05
36147,0.34,Ideal,D,VVS2,61.3,56.0,1054,4.51,4.53,2.77
34095,0.3,Ideal,E,VVS1,61.2,57.0,956,4.36,4.33,2.66
10441,1.02,Ideal,G,SI1,62.2,57.0,4988,6.43,6.49,4.02
16307,1.29,Good,I,VS2,57.9,61.0,7102,7.16,7.13,4.14
4204,0.81,Very Good,E,SI1,61.9,60.0,3643,5.87,5.95,3.66
6957,1.1,Ideal,H,SI2,61.9,56.0,4250,6.65,6.63,4.11
9163,0.96,Good,D,SI1,61.0,61.0,4693,6.29,6.33,3.85
20627,1.69,Very Good,E,SI2,62.6,59.0,10317,7.53,7.61,4.74
17567,1.01,Ideal,G,VS2,62.1,59.0,7814,6.39,6.43,3.98
14832,1.08,Premium,G,VS2,59.4,59.0,6415,6.68,6.75,3.99
27029,0.34,Ideal,F,VS1,61.1,57.0,692,4.51,4.55,2.77
44197,0.51,Good,G,VVS2,57.6,56.0,1885,5.27,5.35,3.06
1,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
35449,0.4,Very Good,E,VVS2,62.4,58.0,1017,4.7,4.76,2.95
30903,0.35,Ideal,D,SI1,62.3,57.0,827,4.52,4.5,2.81
7648,1.1,Ideal,J,SI1,61.5,55.0,4390,6.65,6.68,4.1
4217,0.77,Ideal,F,VS1,61.2,56.0,3647,5.9,5.93,3.62
10474,1.0,Very Good,H,SI1,62.0,54.0,4995,6.43,6.47,4.0
1185,0.72,Ideal,G,VS2,61.5,55.0,2952,5.76,5.79,3.55
46701,0.59,Very Good,G,VVS1,61.5,55.0,2256,5.4,5.43,3.33
26826,0.3,Good,G,VVS2,63.6,57.0,684,4.26,4.3,2.72
12090,1.29,Premium,H,SI2,61.0,57.0,5418,7.13,6.95,4.31
5386,1.0,Good,J,VS1,58.1,64.0,3920,6.63,6.51,3.82
17351,1.01,Premium,G,VVS2,60.5,60.0,7665,6.58,6.51,3.96
18844,1.56,Ideal,J,VS1,62.5,56.0,8763,7.38,7.46,4.64
28816,0.27,Ideal,D,VVS2,61.5,56.0,752,4.18,4.15,2.56
43052,0.51,Ideal,H,VVS1,61.4,55.0,1776,5.13,5.16,3.16
11347,1.21,Premium,H,SI2,61.9,55.0,5218,6.84,6.79,4.22
42802,0.5,Very Good,D,VS1,62.0,56.0,1750,5.09,5.11,3.16
3979,0.9,Good,E,SI2,64.1,58.0,3595,6.04,6.09,3.89
7090,1.04,Ideal,G,SI2,62.0,57.0,4277,6.6,6.53,4.07
21599,1.62,Very Good,H,SI1,62.2,58.0,11351,7.46,7.5,4.65
34264,0.35,Ideal,J,VS1,61.5,56.0,478,4.56,4.58,2.81
17930,0.4,Good,D,SI2,63.9,53.0,622,4.68,4.71,3.0
41958,0.52,Ideal,G,VS1,60.9,56.0,1662,5.2,5.24,3.18
25484,2.23,Premium,I,VS2,61.2,58.0,18149,8.43,8.36,5.14
21027,0.35,Ideal,I,VS2,62.5,57.0,630,4.53,4.5,2.82
29093,0.33,Ideal,F,VVS2,61.7,55.0,761,4.46,4.49,2.76
24608,2.07,Ideal,I,SI2,62.0,55.0,16189,8.12,8.22,5.07
44987,0.72,Premium,I,VS2,61.1,61.0,1991,5.79,5.74,3.52
24542,2.01,Good,I,VS2,63.6,57.0,16003,7.87,7.95,5.03
24878,2.48,Premium,I,SI1,61.0,60.0,16715,8.68,8.61,5.27
18528,0.32,Very Good,G,SI2,62.4,59.0,421,4.35,4.4,2.73
40247,0.53,Very Good,D,SI1,59.1,59.0,1415,5.27,5.33,3.13
7104,0.26,Premium,E,VS1,60.1,60.0,580,4.15,4.1,2.48
11489,0.92,Ideal,G,VS1,62.0,57.0,5243,6.24,6.28,3.88
16072,0.34,Premium,E,SI2,62.5,59.0,612,4.46,4.43,2.78
4056,0.31,Very Good,D,SI1,60.2,56.0,571,4.37,4.4,2.64
42723,0.56,Ideal,I,VVS1,61.1,55.0,1743,5.35,5.33,3.26
24037,2.2,Ideal,I,VS1,61.4,57.0,15092,8.41,8.37,5.15
7191,1.0,Fair,G,SI1,66.2,58.0,4295,6.25,6.15,4.11
35650,0.35,Ideal,H,IF,60.9,57.0,1028,4.58,4.6,2.8
938,0.72,Premium,E,VS2,61.1,59.0,2903,5.8,5.75,3.53
19424,1.16,Very Good,G,VVS2,61.6,58.0,9205,6.67,6.73,4.13
18115,1.53,Premium,J,VS1,60.1,59.0,8205,7.51,7.47,4.5
31659,0.3,Ideal,F,VVS1,62.0,54.2,854,4.31,4.33,2.68
1072,0.77,Very Good,H,VS1,63.3,57.0,2927,5.79,5.83,3.68
43347,0.5,Good,G,VVS2,63.9,58.0,1806,5.05,5.0,3.21
35156,0.41,Ideal,F,VS1,61.3,55.0,1007,4.79,4.83,2.95
30665,0.26,Ideal,E,VVS1,61.7,56.0,814,4.11,4.09,2.53
44882,0.55,Premium,D,VS1,62.0,58.0,1975,5.26,5.28,3.27
40153,0.4,Good,F,IF,63.5,58.0,1404,4.69,4.7,2.98
42523,0.78,Good,G,SI2,57.9,63.0,1720,6.05,6.0,3.49
16063,0.32,Premium,G,SI1,62.8,56.0,612,4.36,4.34,2.73
34408,0.41,Ideal,E,SI1,62.5,55.0,969,4.77,4.73,2.97
13655,1.12,Premium,H,VS1,62.1,58.0,5952,6.64,6.6,4.11
45250,0.73,Fair,G,SI1,65.5,56.0,2032,5.68,5.62,3.7
28135,0.36,Premium,F,VS2,60.5,60.0,726,4.55,4.61,2.77
17267,1.08,Ideal,F,VS2,62.5,57.0,7625,6.52,6.57,4.09
29671,0.3,Premium,F,VS2,62.8,58.0,776,4.28,4.25,2.68
28772,0.31,Ideal,F,VS2,61.6,56.0,749,4.39,4.35,2.69
90,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56
44127,0.51,Premium,D,VS2,60.5,60.0,1882,5.19,5.16,3.13
26459,0.39,Ideal,G,SI1,61.0,55.0,675,4.75,4.82,2.92
49622,0.7,Ideal,H,VS1,61.8,56.0,2691,5.69,5.72,3.53
41140,0.67,Good,J,VS1,64.2,55.6,1581,5.54,5.57,3.57
11416,0.26,Very Good,F,VVS1,62.0,59.0,597,4.08,4.15,2.55
35988,0.51,Very Good,J,VS2,62.5,56.0,1047,5.08,5.12,3.19
498,0.8,Premium,E,SI2,60.2,57.0,2829,6.05,6.01,3.63
22364,1.5,Premium,G,VS2,62.9,54.0,12308,7.31,7.26,4.58
35936,0.43,Ideal,I,IF,62.3,53.0,1046,4.82,4.9,3.02
28243,0.41,Ideal,J,SI2,62.5,54.0,731,4.78,4.79,2.99
37229,0.38,Premium,D,VS2,58.8,61.0,1117,4.77,4.72,2.79
15910,1.0,Very Good,E,VS2,59.0,58.0,6875,6.49,6.53,3.84
20850,1.03,Premium,F,VVS1,59.7,60.0,10546,6.63,6.57,3.94
46505,0.71,Very Good,E,SI2,63.3,57.0,2225,5.65,5.69,3.59
29291,0.35,Very Good,E,VS2,62.1,59.0,767,4.46,4.49,2.78
30501,0.36,Very Good,E,SI1,63.1,58.0,810,4.54,4.49,2.85
5145,0.92,Premium,F,SI2,59.3,61.0,3864,6.36,6.29,3.75
36137,0.39,Premium,I,VVS1,61.5,59.0,1053,4.7,4.67,2.88
27390,0.39,Very Good,F,SI1,60.0,57.0,704,4.76,4.8,2.86
7487,1.01,Premium,E,SI2,62.5,60.0,4355,6.39,6.42,4.0
33923,0.33,Ideal,G,IF,61.3,55.0,946,4.49,4.51,2.76
24786,0.32,Very Good,F,VS2,61.0,61.0,645,4.38,4.41,2.68
12488,1.01,Very Good,D,SI1,63.1,60.0,5543,6.39,6.32,4.01
27743,0.34,Ideal,F,VVS2,61.8,56.0,712,4.47,4.49,2.77
12956,1.07,Premium,D,SI1,61.9,58.0,5704,6.57,6.53,4.05
21463,1.5,Good,E,SI1,58.9,61.0,11179,7.43,7.5,4.4
6493,0.33,Ideal,E,SI1,62.4,56.0,579,4.41,4.43,2.76
29115,0.41,Ideal,H,SI1,61.5,55.0,763,4.78,4.81,2.95
47310,0.53,Premium,E,VVS2,62.4,56.0,2331,5.19,5.17,3.23
37858,0.61,Fair,J,VS2,58.2,56.0,1174,5.74,5.49,3.27
31565,0.4,Very Good,D,VS2,63.6,55.0,850,4.68,4.72,2.99
41201,0.51,Premium,G,VS1,61.0,58.0,1591,5.2,5.16,3.16
28826,0.33,Very Good,G,VVS2,60.9,57.0,752,4.43,4.5,2.72
4645,1.03,Premium,H,SI2,62.7,62.0,3749,6.43,6.38,4.02
27091,0.31,Ideal,F,VS1,61.8,56.0,695,4.33,4.36,2.68
25639,2.01,Good,G,SI1,63.1,59.0,18572,7.98,8.03,5.05
31244,0.4,Very Good,E,SI1,62.2,54.4,837,4.72,4.76,2.95
48649,0.71,Very Good,D,SI1,63.3,59.0,2525,5.55,5.66,3.55
5757,0.9,Ideal,G,SI1,61.9,59.0,4008,6.16,6.19,3.82
